"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000000003","HAVANA","gene",NA,NA,"ENSG00000000003","protein_coding","TSPAN6","2","HGNC:11858","OTTHUMG00000022002.2"
"ENSG00000000005","HAVANA","gene",NA,NA,"ENSG00000000005","protein_coding","TNMD","2","HGNC:17757","OTTHUMG00000022001.2"
"ENSG00000000419","HAVANA","gene",NA,NA,"ENSG00000000419","protein_coding","DPM1","2","HGNC:3005","OTTHUMG00000032742.2"
"ENSG00000000457","HAVANA","gene",NA,NA,"ENSG00000000457","protein_coding","SCYL3","2","HGNC:19285","OTTHUMG00000035941.6"
"ENSG00000000460","HAVANA","gene",NA,NA,"ENSG00000000460","protein_coding","C1orf112","2","HGNC:25565","OTTHUMG00000035821.9"
"ENSG00000000938","HAVANA","gene",NA,NA,"ENSG00000000938","protein_coding","FGR","2","HGNC:3697","OTTHUMG00000003516.3"
"ENSG00000000971","HAVANA","gene",NA,NA,"ENSG00000000971","protein_coding","CFH","1","HGNC:4883","OTTHUMG00000035607.6"
"ENSG00000001036","HAVANA","gene",NA,NA,"ENSG00000001036","protein_coding","FUCA2","2","HGNC:4008","OTTHUMG00000015728.3"
"ENSG00000001084","HAVANA","gene",NA,NA,"ENSG00000001084","protein_coding","GCLC","1","HGNC:4311","OTTHUMG00000160220.13"
"ENSG00000001167","HAVANA","gene",NA,NA,"ENSG00000001167","protein_coding","NFYA","2","HGNC:7804","OTTHUMG00000014669.1"
"ENSG00000001460","HAVANA","gene",NA,NA,"ENSG00000001460","protein_coding","STPG1","2","HGNC:28070","OTTHUMG00000003297.4"
"ENSG00000001461","HAVANA","gene",NA,NA,"ENSG00000001461","protein_coding","NIPAL3","2","HGNC:25233","OTTHUMG00000003299.4"
"ENSG00000001497","HAVANA","gene",NA,NA,"ENSG00000001497","protein_coding","LAS1L","2","HGNC:25726","OTTHUMG00000021720.2"
"ENSG00000001561","HAVANA","gene",NA,NA,"ENSG00000001561","protein_coding","ENPP4","2","HGNC:3359","OTTHUMG00000014779.3"
"ENSG00000001617","HAVANA","gene",NA,NA,"ENSG00000001617","protein_coding","SEMA3F","2","HGNC:10728","OTTHUMG00000156806.9"
"ENSG00000001626","HAVANA","gene",NA,NA,"ENSG00000001626","protein_coding","CFTR","1","HGNC:1884","OTTHUMG00000023076.18"
"ENSG00000001629","HAVANA","gene",NA,NA,"ENSG00000001629","protein_coding","ANKIB1","2","HGNC:22215","OTTHUMG00000155859.3"
"ENSG00000001630","HAVANA","gene",NA,NA,"ENSG00000001630","protein_coding","CYP51A1","1","HGNC:2649","OTTHUMG00000193420.2"
"ENSG00000001631","HAVANA","gene",NA,NA,"ENSG00000001631","protein_coding","KRIT1","2","HGNC:1573","OTTHUMG00000131187.10"
"ENSG00000002016","HAVANA","gene",NA,NA,"ENSG00000002016","protein_coding","RAD52","2","HGNC:9824","OTTHUMG00000090361.6"
"ENSG00000002330","HAVANA","gene",NA,NA,"ENSG00000002330","protein_coding","BAD","1","HGNC:936","OTTHUMG00000134302.4"
"ENSG00000002549","HAVANA","gene",NA,NA,"ENSG00000002549","protein_coding","LAP3","2","HGNC:18449","OTTHUMG00000048214.7"
"ENSG00000002586","HAVANA","gene",NA,NA,"ENSG00000002586","protein_coding","CD99","2","HGNC:7082","OTTHUMG00000021073.12"
"ENSG00000002587","HAVANA","gene",NA,NA,"ENSG00000002587","protein_coding","HS3ST1","2","HGNC:5194","OTTHUMG00000090547.7"
"ENSG00000002726","HAVANA","gene",NA,NA,"ENSG00000002726","protein_coding","AOC1","2","HGNC:80","OTTHUMG00000158306.2"
"ENSG00000002745","HAVANA","gene",NA,NA,"ENSG00000002745","protein_coding","WNT16","2","HGNC:16267","OTTHUMG00000156963.2"
"ENSG00000002746","HAVANA","gene",NA,NA,"ENSG00000002746","protein_coding","HECW1","1","HGNC:22195","OTTHUMG00000128917.6"
"ENSG00000002822","HAVANA","gene",NA,NA,"ENSG00000002822","protein_coding","MAD1L1","1","HGNC:6762","OTTHUMG00000151493.7"
"ENSG00000002834","HAVANA","gene",NA,NA,"ENSG00000002834","protein_coding","LASP1","1","HGNC:6513","OTTHUMG00000133182.8"
"ENSG00000002919","HAVANA","gene",NA,NA,"ENSG00000002919","protein_coding","SNX11","2","HGNC:14975","OTTHUMG00000178822.2"
"ENSG00000002933","HAVANA","gene",NA,NA,"ENSG00000002933","protein_coding","TMEM176A","2","HGNC:24930","OTTHUMG00000158114.6"
"ENSG00000003056","HAVANA","gene",NA,NA,"ENSG00000003056","protein_coding","M6PR","1","HGNC:6752","OTTHUMG00000168276.4"
"ENSG00000003096","HAVANA","gene",NA,NA,"ENSG00000003096","protein_coding","KLHL13","2","HGNC:22931","OTTHUMG00000022252.4"
"ENSG00000003137","HAVANA","gene",NA,NA,"ENSG00000003137","protein_coding","CYP26B1","1","HGNC:20581","OTTHUMG00000129756.5"
"ENSG00000003147","HAVANA","gene",NA,NA,"ENSG00000003147","protein_coding","ICA1","2","HGNC:5343","OTTHUMG00000152008.11"
"ENSG00000003249","HAVANA","gene",NA,NA,"ENSG00000003249","protein_coding","DBNDD1","2","HGNC:28455","OTTHUMG00000138984.4"
"ENSG00000003393","HAVANA","gene",NA,NA,"ENSG00000003393","protein_coding","ALS2","2","HGNC:443","OTTHUMG00000154507.8"
"ENSG00000003400","HAVANA","gene",NA,NA,"ENSG00000003400","protein_coding","CASP10","2","HGNC:1500","OTTHUMG00000132818.5"
"ENSG00000003402","HAVANA","gene",NA,NA,"ENSG00000003402","protein_coding","CFLAR","1","HGNC:1876","OTTHUMG00000132819.20"
"ENSG00000003436","HAVANA","gene",NA,NA,"ENSG00000003436","protein_coding","TFPI","2","HGNC:11760","OTTHUMG00000132634.8"
"ENSG00000003509","HAVANA","gene",NA,NA,"ENSG00000003509","protein_coding","NDUFAF7","1","HGNC:28816","OTTHUMG00000128468.7"
"ENSG00000003756","HAVANA","gene",NA,NA,"ENSG00000003756","protein_coding","RBM5","1","HGNC:9902","OTTHUMG00000156785.9"
"ENSG00000003987","HAVANA","gene",NA,NA,"ENSG00000003987","protein_coding","MTMR7","2","HGNC:7454","OTTHUMG00000163771.4"
"ENSG00000003989","HAVANA","gene",NA,NA,"ENSG00000003989","protein_coding","SLC7A2","2","HGNC:11060","OTTHUMG00000130819.5"
"ENSG00000004059","HAVANA","gene",NA,NA,"ENSG00000004059","protein_coding","ARF5","2","HGNC:658","OTTHUMG00000023246.7"
"ENSG00000004139","HAVANA","gene",NA,NA,"ENSG00000004139","protein_coding","SARM1","1","HGNC:17074","OTTHUMG00000132499.47"
"ENSG00000004142","HAVANA","gene",NA,NA,"ENSG00000004142","protein_coding","POLDIP2","2","HGNC:23781","OTTHUMG00000132065.9"
"ENSG00000004399","HAVANA","gene",NA,NA,"ENSG00000004399","protein_coding","PLXND1","1","HGNC:9107","OTTHUMG00000159547.15"
"ENSG00000004455","HAVANA","gene",NA,NA,"ENSG00000004455","protein_coding","AK2","1","HGNC:362","OTTHUMG00000004131.7"
"ENSG00000004468","HAVANA","gene",NA,NA,"ENSG00000004468","protein_coding","CD38","2","HGNC:1667","OTTHUMG00000048206.6"
"ENSG00000004478","HAVANA","gene",NA,NA,"ENSG00000004478","protein_coding","FKBP4","2","HGNC:3720","OTTHUMG00000090429.4"
"ENSG00000004487","HAVANA","gene",NA,NA,"ENSG00000004487","protein_coding","KDM1A","1","HGNC:29079","OTTHUMG00000003220.7"
"ENSG00000004534","HAVANA","gene",NA,NA,"ENSG00000004534","protein_coding","RBM6","1","HGNC:9903","OTTHUMG00000156736.13"
"ENSG00000004660","HAVANA","gene",NA,NA,"ENSG00000004660","protein_coding","CAMKK1","2","HGNC:1469","OTTHUMG00000090725.3"
"ENSG00000004700","HAVANA","gene",NA,NA,"ENSG00000004700","protein_coding","RECQL","2","HGNC:9948","OTTHUMG00000169131.3"
"ENSG00000004766","HAVANA","gene",NA,NA,"ENSG00000004766","protein_coding","VPS50","2","HGNC:25956","OTTHUMG00000131733.6"
"ENSG00000004776","HAVANA","gene",NA,NA,"ENSG00000004776","protein_coding","HSPB6","2","HGNC:26511","OTTHUMG00000048122.5"
"ENSG00000004777","HAVANA","gene",NA,NA,"ENSG00000004777","protein_coding","ARHGAP33","1","HGNC:23085","OTTHUMG00000182071.4"
"ENSG00000004779","HAVANA","gene",NA,NA,"ENSG00000004779","protein_coding","NDUFAB1","1","HGNC:7694","OTTHUMG00000096985.6"
"ENSG00000004799","HAVANA","gene",NA,NA,"ENSG00000004799","protein_coding","PDK4","2","HGNC:8812","OTTHUMG00000153977.3"
"ENSG00000004809","HAVANA","gene",NA,NA,"ENSG00000004809","protein_coding","SLC22A16","2","HGNC:20302","OTTHUMG00000016171.5"
"ENSG00000004838","HAVANA","gene",NA,NA,"ENSG00000004838","protein_coding","ZMYND10","1","HGNC:19412","OTTHUMG00000156874.6"
"ENSG00000004846","HAVANA","gene",NA,NA,"ENSG00000004846","protein_coding","ABCB5","1","HGNC:46","OTTHUMG00000094789.7"
"ENSG00000004848","HAVANA","gene",NA,NA,"ENSG00000004848","protein_coding","ARX","2","HGNC:18060","OTTHUMG00000021275.5"
"ENSG00000004864","HAVANA","gene",NA,NA,"ENSG00000004864","protein_coding","SLC25A13","2","HGNC:10983","OTTHUMG00000023074.5"
"ENSG00000004866","HAVANA","gene",NA,NA,"ENSG00000004866","protein_coding","ST7","1","HGNC:11351","OTTHUMG00000023888.24"
"ENSG00000004897","HAVANA","gene",NA,NA,"ENSG00000004897","protein_coding","CDC27","2","HGNC:1728","OTTHUMG00000166429.8"
"ENSG00000004939","HAVANA","gene",NA,NA,"ENSG00000004939","protein_coding","SLC4A1","2","HGNC:11027","OTTHUMG00000156843.3"
"ENSG00000004948","HAVANA","gene",NA,NA,"ENSG00000004948","protein_coding","CALCR","2","HGNC:1440","OTTHUMG00000023599.7"
"ENSG00000004961","HAVANA","gene",NA,NA,"ENSG00000004961","protein_coding","HCCS","2","HGNC:4837","OTTHUMG00000021128.2"
"ENSG00000004975","HAVANA","gene",NA,NA,"ENSG00000004975","protein_coding","DVL2","2","HGNC:3086","OTTHUMG00000102155.5"
"ENSG00000005001","HAVANA","gene",NA,NA,"ENSG00000005001","protein_coding","PRSS22","1","HGNC:14368","OTTHUMG00000128961.3"
"ENSG00000005007","HAVANA","gene",NA,NA,"ENSG00000005007","protein_coding","UPF1","2","HGNC:9962","OTTHUMG00000183025.2"
"ENSG00000005020","HAVANA","gene",NA,NA,"ENSG00000005020","protein_coding","SKAP2","2","HGNC:15687","OTTHUMG00000023495.5"
"ENSG00000005022","HAVANA","gene",NA,NA,"ENSG00000005022","protein_coding","SLC25A5","2","HGNC:10991","OTTHUMG00000022715.3"
"ENSG00000005059","HAVANA","gene",NA,NA,"ENSG00000005059","protein_coding","MCUB","2","HGNC:26076","OTTHUMG00000161103.3"
"ENSG00000005073","HAVANA","gene",NA,NA,"ENSG00000005073","protein_coding","HOXA11","1","HGNC:5101","OTTHUMG00000023437.7"
"ENSG00000005075","HAVANA","gene",NA,NA,"ENSG00000005075","protein_coding","POLR2J","2","HGNC:9197","OTTHUMG00000150387.1"
"ENSG00000005100","HAVANA","gene",NA,NA,"ENSG00000005100","protein_coding","DHX33","1","HGNC:16718","OTTHUMG00000102041.3"
"ENSG00000005102","HAVANA","gene",NA,NA,"ENSG00000005102","protein_coding","MEOX1","2","HGNC:7013","OTTHUMG00000170513.3"
"ENSG00000005108","HAVANA","gene",NA,NA,"ENSG00000005108","protein_coding","THSD7A","2","HGNC:22207","OTTHUMG00000152346.5"
"ENSG00000005156","HAVANA","gene",NA,NA,"ENSG00000005156","protein_coding","LIG3","1","HGNC:6600","OTTHUMG00000128519.7"
"ENSG00000005175","HAVANA","gene",NA,NA,"ENSG00000005175","protein_coding","RPAP3","2","HGNC:26151","OTTHUMG00000169668.3"
"ENSG00000005187","HAVANA","gene",NA,NA,"ENSG00000005187","protein_coding","ACSM3","1","HGNC:10522","OTTHUMG00000131552.7"
"ENSG00000005189","HAVANA","gene",NA,NA,"ENSG00000005189","protein_coding","REXO5","1","HGNC:24661","OTTHUMG00000131556.5"
"ENSG00000005194","HAVANA","gene",NA,NA,"ENSG00000005194","protein_coding","CIAPIN1","1","HGNC:28050","OTTHUMG00000133457.8"
"ENSG00000005206","HAVANA","gene",NA,NA,"ENSG00000005206","protein_coding","SPPL2B","2","HGNC:30627","OTTHUMG00000180443.10"
"ENSG00000005238","HAVANA","gene",NA,NA,"ENSG00000005238","protein_coding","FAM214B","2","HGNC:25666","OTTHUMG00000019847.6"
"ENSG00000005243","HAVANA","gene",NA,NA,"ENSG00000005243","protein_coding","COPZ2","2","HGNC:19356","OTTHUMG00000178684.6"
"ENSG00000005249","HAVANA","gene",NA,NA,"ENSG00000005249","protein_coding","PRKAR2B","2","HGNC:9392","OTTHUMG00000137418.2"
"ENSG00000005302","HAVANA","gene",NA,NA,"ENSG00000005302","protein_coding","MSL3","2","HGNC:7370","OTTHUMG00000021132.13"
"ENSG00000005339","HAVANA","gene",NA,NA,"ENSG00000005339","protein_coding","CREBBP","1","HGNC:2348","OTTHUMG00000129431.7"
"ENSG00000005379","HAVANA","gene",NA,NA,"ENSG00000005379","protein_coding","TSPOAP1","2","HGNC:16831","OTTHUMG00000178923.5"
"ENSG00000005381","HAVANA","gene",NA,NA,"ENSG00000005381","protein_coding","MPO","2","HGNC:7218","OTTHUMG00000178922.3"
"ENSG00000005421","HAVANA","gene",NA,NA,"ENSG00000005421","protein_coding","PON1","2","HGNC:9204","OTTHUMG00000153894.4"
"ENSG00000005436","HAVANA","gene",NA,NA,"ENSG00000005436","protein_coding","GCFC2","1","HGNC:1317","OTTHUMG00000129989.5"
"ENSG00000005448","HAVANA","gene",NA,NA,"ENSG00000005448","protein_coding","WDR54","1","HGNC:25770","OTTHUMG00000129951.4"
"ENSG00000005469","HAVANA","gene",NA,NA,"ENSG00000005469","protein_coding","CROT","1","HGNC:2366","OTTHUMG00000023653.5"
"ENSG00000005471","HAVANA","gene",NA,NA,"ENSG00000005471","protein_coding","ABCB4","2","HGNC:45","OTTHUMG00000023396.20"
"ENSG00000005483","HAVANA","gene",NA,NA,"ENSG00000005483","protein_coding","KMT2E","2","HGNC:18541","OTTHUMG00000157403.5"
"ENSG00000005486","HAVANA","gene",NA,NA,"ENSG00000005486","protein_coding","RHBDD2","1","HGNC:23082","OTTHUMG00000156435.5"
"ENSG00000005513","HAVANA","gene",NA,NA,"ENSG00000005513","protein_coding","SOX8","2","HGNC:11203","OTTHUMG00000122101.4"
"ENSG00000005700","HAVANA","gene",NA,NA,"ENSG00000005700","protein_coding","IBTK","2","HGNC:17853","OTTHUMG00000015102.3"
"ENSG00000005801","HAVANA","gene",NA,NA,"ENSG00000005801","protein_coding","ZNF195","1","HGNC:12986","OTTHUMG00000011694.10"
"ENSG00000005810","HAVANA","gene",NA,NA,"ENSG00000005810","protein_coding","MYCBP2","2","HGNC:23386","OTTHUMG00000017105.5"
"ENSG00000005812","HAVANA","gene",NA,NA,"ENSG00000005812","protein_coding","FBXL3","1","HGNC:13599","OTTHUMG00000017099.6"
"ENSG00000005844","HAVANA","gene",NA,NA,"ENSG00000005844","protein_coding","ITGAL","1","HGNC:6148","OTTHUMG00000176964.5"
"ENSG00000005882","HAVANA","gene",NA,NA,"ENSG00000005882","protein_coding","PDK2","1","HGNC:8810","OTTHUMG00000161948.18"
"ENSG00000005884","HAVANA","gene",NA,NA,"ENSG00000005884","protein_coding","ITGA3","2","HGNC:6139","OTTHUMG00000161890.7"
"ENSG00000005889","HAVANA","gene",NA,NA,"ENSG00000005889","protein_coding","ZFX","2","HGNC:12869","OTTHUMG00000021264.2"
"ENSG00000005893","HAVANA","gene",NA,NA,"ENSG00000005893","protein_coding","LAMP2","2","HGNC:6501","OTTHUMG00000022301.5"
"ENSG00000005961","HAVANA","gene",NA,NA,"ENSG00000005961","protein_coding","ITGA2B","2","HGNC:6138","OTTHUMG00000177935.5"
"ENSG00000005981","HAVANA","gene",NA,NA,"ENSG00000005981","protein_coding","ASB4","2","HGNC:16009","OTTHUMG00000153960.8"
"ENSG00000006007","HAVANA","gene",NA,NA,"ENSG00000006007","protein_coding","GDE1","2","HGNC:29644","OTTHUMG00000131454.7"
"ENSG00000006015","HAVANA","gene",NA,NA,"ENSG00000006015","protein_coding","REX1BD","1","HGNC:26098","OTTHUMG00000183112.1"
"ENSG00000006016","HAVANA","gene",NA,NA,"ENSG00000006016","protein_coding","CRLF1","2","HGNC:2364","OTTHUMG00000183111.3"
"ENSG00000006025","HAVANA","gene",NA,NA,"ENSG00000006025","protein_coding","OSBPL7","2","HGNC:16387","OTTHUMG00000178288.2"
"ENSG00000006042","HAVANA","gene",NA,NA,"ENSG00000006042","protein_coding","TMEM98","2","HGNC:24529","OTTHUMG00000132882.5"
"ENSG00000006047","HAVANA","gene",NA,NA,"ENSG00000006047","protein_coding","YBX2","2","HGNC:17948","OTTHUMG00000177992.3"
"ENSG00000006062","HAVANA","gene",NA,NA,"ENSG00000006062","protein_coding","MAP3K14","2","HGNC:6853","OTTHUMG00000180364.13"
"ENSG00000006071","HAVANA","gene",NA,NA,"ENSG00000006071","protein_coding","ABCC8","2","HGNC:59","OTTHUMG00000166316.33"
"ENSG00000006118","HAVANA","gene",NA,NA,"ENSG00000006118","protein_coding","TMEM132A","1","HGNC:31092","OTTHUMG00000167803.2"
"ENSG00000006125","HAVANA","gene",NA,NA,"ENSG00000006125","protein_coding","AP2B1","1","HGNC:563","OTTHUMG00000179924.5"
"ENSG00000006128","HAVANA","gene",NA,NA,"ENSG00000006128","protein_coding","TAC1","2","HGNC:11517","OTTHUMG00000154069.4"
"ENSG00000006194","HAVANA","gene",NA,NA,"ENSG00000006194","protein_coding","ZNF263","1","HGNC:13056","OTTHUMG00000129323.4"
"ENSG00000006210","HAVANA","gene",NA,NA,"ENSG00000006210","protein_coding","CX3CL1","1","HGNC:10647","OTTHUMG00000133469.6"
"ENSG00000006282","HAVANA","gene",NA,NA,"ENSG00000006282","protein_coding","SPATA20","2","HGNC:26125","OTTHUMG00000162162.5"
"ENSG00000006283","HAVANA","gene",NA,NA,"ENSG00000006283","protein_coding","CACNA1G","2","HGNC:1394","OTTHUMG00000162180.8"
"ENSG00000006327","HAVANA","gene",NA,NA,"ENSG00000006327","protein_coding","TNFRSF12A","2","HGNC:18152","OTTHUMG00000129001.2"
"ENSG00000006377","HAVANA","gene",NA,NA,"ENSG00000006377","protein_coding","DLX6","2","HGNC:2919","OTTHUMG00000154201.7"
"ENSG00000006432","HAVANA","gene",NA,NA,"ENSG00000006432","protein_coding","MAP3K9","1","HGNC:6861","OTTHUMG00000171249.3"
"ENSG00000006451","HAVANA","gene",NA,NA,"ENSG00000006451","protein_coding","RALA","2","HGNC:9839","OTTHUMG00000128775.5"
"ENSG00000006453","HAVANA","gene",NA,NA,"ENSG00000006453","protein_coding","BAIAP2L1","2","HGNC:21649","OTTHUMG00000165117.2"
"ENSG00000006459","HAVANA","gene",NA,NA,"ENSG00000006459","protein_coding","KDM7A","2","HGNC:22224","OTTHUMG00000157327.2"
"ENSG00000006468","HAVANA","gene",NA,NA,"ENSG00000006468","protein_coding","ETV1","1","HGNC:3490","OTTHUMG00000152403.7"
"ENSG00000006530","HAVANA","gene",NA,NA,"ENSG00000006530","protein_coding","AGK","2","HGNC:21869","OTTHUMG00000157499.2"
"ENSG00000006534","HAVANA","gene",NA,NA,"ENSG00000006534","protein_coding","ALDH3B1","2","HGNC:410","OTTHUMG00000154910.7"
"ENSG00000006555","HAVANA","gene",NA,NA,"ENSG00000006555","protein_coding","TTC22","1","HGNC:26067","OTTHUMG00000009916.4"
"ENSG00000006576","HAVANA","gene",NA,NA,"ENSG00000006576","protein_coding","PHTF2","2","HGNC:13411","OTTHUMG00000155557.3"
"ENSG00000006606","HAVANA","gene",NA,NA,"ENSG00000006606","protein_coding","CCL26","2","HGNC:10625","OTTHUMG00000130403.2"
"ENSG00000006607","HAVANA","gene",NA,NA,"ENSG00000006607","protein_coding","FARP2","1","HGNC:16460","OTTHUMG00000151574.5"
"ENSG00000006611","HAVANA","gene",NA,NA,"ENSG00000006611","protein_coding","USH1C","2","HGNC:12597","OTTHUMG00000166323.3"
"ENSG00000006625","HAVANA","gene",NA,NA,"ENSG00000006625","protein_coding","GGCT","1","HGNC:21705","OTTHUMG00000128593.3"
"ENSG00000006634","HAVANA","gene",NA,NA,"ENSG00000006634","protein_coding","DBF4","2","HGNC:17364","OTTHUMG00000131034.7"
"ENSG00000006638","HAVANA","gene",NA,NA,"ENSG00000006638","protein_coding","TBXA2R","2","HGNC:11608","OTTHUMG00000180806.3"
"ENSG00000006652","HAVANA","gene",NA,NA,"ENSG00000006652","protein_coding","IFRD1","1","HGNC:5456","OTTHUMG00000155124.8"
"ENSG00000006659","HAVANA","gene",NA,NA,"ENSG00000006659","protein_coding","LGALS14","2","HGNC:30054","OTTHUMG00000183143.3"
"ENSG00000006695","HAVANA","gene",NA,NA,"ENSG00000006695","protein_coding","COX10","2","HGNC:2260","OTTHUMG00000058814.4"
"ENSG00000006704","HAVANA","gene",NA,NA,"ENSG00000006704","protein_coding","GTF2IRD1","1","HGNC:4661","OTTHUMG00000023782.4"
"ENSG00000006712","HAVANA","gene",NA,NA,"ENSG00000006712","protein_coding","PAF1","2","HGNC:25459","OTTHUMG00000182968.3"
"ENSG00000006715","HAVANA","gene",NA,NA,"ENSG00000006715","protein_coding","VPS41","1","HGNC:12713","OTTHUMG00000023629.8"
"ENSG00000006740","HAVANA","gene",NA,NA,"ENSG00000006740","protein_coding","ARHGAP44","1","HGNC:29096","OTTHUMG00000058765.6"
"ENSG00000006744","HAVANA","gene",NA,NA,"ENSG00000006744","protein_coding","ELAC2","1","HGNC:14198","OTTHUMG00000058764.16"
"ENSG00000006747","HAVANA","gene",NA,NA,"ENSG00000006747","protein_coding","SCIN","1","HGNC:21695","OTTHUMG00000152385.5"
"ENSG00000006756","HAVANA","gene",NA,NA,"ENSG00000006756","protein_coding","ARSD","1","HGNC:717","OTTHUMG00000021077.4"
"ENSG00000006757","HAVANA","gene",NA,NA,"ENSG00000006757","protein_coding","PNPLA4","2","HGNC:24887","OTTHUMG00000021103.3"
"ENSG00000006788","HAVANA","gene",NA,NA,"ENSG00000006788","protein_coding","MYH13","2","HGNC:7571","OTTHUMG00000177987.6"
"ENSG00000006831","HAVANA","gene",NA,NA,"ENSG00000006831","protein_coding","ADIPOR2","1","HGNC:24041","OTTHUMG00000130139.3"
"ENSG00000006837","HAVANA","gene",NA,NA,"ENSG00000006837","protein_coding","CDKL3","1","HGNC:15483","OTTHUMG00000186341.3"
"ENSG00000007001","HAVANA","gene",NA,NA,"ENSG00000007001","protein_coding","UPP2","2","HGNC:23061","OTTHUMG00000131969.3"
"ENSG00000007038","HAVANA","gene",NA,NA,"ENSG00000007038","protein_coding","PRSS21","2","HGNC:9485","OTTHUMG00000128931.3"
"ENSG00000007047","HAVANA","gene",NA,NA,"ENSG00000007047","protein_coding","MARK4","2","HGNC:13538","OTTHUMG00000181769.3"
"ENSG00000007062","HAVANA","gene",NA,NA,"ENSG00000007062","protein_coding","PROM1","1","HGNC:9454","OTTHUMG00000160180.6"
"ENSG00000007080","HAVANA","gene",NA,NA,"ENSG00000007080","protein_coding","CCDC124","2","HGNC:25171","OTTHUMG00000183405.3"
"ENSG00000007129","HAVANA","gene",NA,NA,"ENSG00000007129","protein_coding","CEACAM21","2","HGNC:28834","OTTHUMG00000151062.9"
"ENSG00000007168","HAVANA","gene",NA,NA,"ENSG00000007168","protein_coding","PAFAH1B1","2","HGNC:8574","OTTHUMG00000177574.8"
"ENSG00000007171","HAVANA","gene",NA,NA,"ENSG00000007171","protein_coding","NOS2","2","HGNC:7873","OTTHUMG00000132445.3"
"ENSG00000007174","HAVANA","gene",NA,NA,"ENSG00000007174","protein_coding","DNAH9","1","HGNC:2953","OTTHUMG00000130383.9"
"ENSG00000007202","HAVANA","gene",NA,NA,"ENSG00000007202","protein_coding","KIAA0100","1","HGNC:28960","OTTHUMG00000166587.7"
"ENSG00000007216","HAVANA","gene",NA,NA,"ENSG00000007216","protein_coding","SLC13A2","2","HGNC:10917","OTTHUMG00000132523.2"
"ENSG00000007237","HAVANA","gene",NA,NA,"ENSG00000007237","protein_coding","GAS7","2","HGNC:4169","OTTHUMG00000177945.15"
"ENSG00000007255","HAVANA","gene",NA,NA,"ENSG00000007255","protein_coding","TRAPPC6A","1","HGNC:23069","OTTHUMG00000181775.1"
"ENSG00000007264","HAVANA","gene",NA,NA,"ENSG00000007264","protein_coding","MATK","1","HGNC:6906","OTTHUMG00000180916.6"
"ENSG00000007306","HAVANA","gene",NA,NA,"ENSG00000007306","protein_coding","CEACAM7","2","HGNC:1819","OTTHUMG00000151063.4"
"ENSG00000007312","HAVANA","gene",NA,NA,"ENSG00000007312","protein_coding","CD79B","2","HGNC:1699","OTTHUMG00000172294.3"
"ENSG00000007314","HAVANA","gene",NA,NA,"ENSG00000007314","protein_coding","SCN4A","2","HGNC:10591","OTTHUMG00000179046.2"
"ENSG00000007341","HAVANA","gene",NA,NA,"ENSG00000007341","protein_coding","ST7L","2","HGNC:18441","OTTHUMG00000011753.8"
"ENSG00000007350","HAVANA","gene",NA,NA,"ENSG00000007350","protein_coding","TKTL1","1","HGNC:11835","OTTHUMG00000022707.9"
"ENSG00000007372","HAVANA","gene",NA,NA,"ENSG00000007372","protein_coding","PAX6","1","HGNC:8620","OTTHUMG00000041447.26"
"ENSG00000007376","HAVANA","gene",NA,NA,"ENSG00000007376","protein_coding","RPUSD1","2","HGNC:14173","OTTHUMG00000047840.5"
"ENSG00000007384","HAVANA","gene",NA,NA,"ENSG00000007384","protein_coding","RHBDF1","1","HGNC:20561","OTTHUMG00000060719.15"
"ENSG00000007392","HAVANA","gene",NA,NA,"ENSG00000007392","protein_coding","LUC7L","1","HGNC:6723","OTTHUMG00000060730.12"
"ENSG00000007402","HAVANA","gene",NA,NA,"ENSG00000007402","protein_coding","CACNA2D2","2","HGNC:1400","OTTHUMG00000156887.4"
"ENSG00000007516","HAVANA","gene",NA,NA,"ENSG00000007516","protein_coding","BAIAP3","1","HGNC:948","OTTHUMG00000047833.5"
"ENSG00000007520","HAVANA","gene",NA,NA,"ENSG00000007520","protein_coding","TSR3","2","HGNC:14175","OTTHUMG00000047834.4"
"ENSG00000007541","HAVANA","gene",NA,NA,"ENSG00000007541","protein_coding","PIGQ","2","HGNC:14135","OTTHUMG00000168047.10"
"ENSG00000007545","HAVANA","gene",NA,NA,"ENSG00000007545","protein_coding","CRAMP1","2","HGNC:14122","OTTHUMG00000074087.8"
"ENSG00000007866","HAVANA","gene",NA,NA,"ENSG00000007866","protein_coding","TEAD3","2","HGNC:11716","OTTHUMG00000014571.6"
"ENSG00000007908","HAVANA","gene",NA,NA,"ENSG00000007908","protein_coding","SELE","1","HGNC:10718","OTTHUMG00000034851.9"
"ENSG00000007923","HAVANA","gene",NA,NA,"ENSG00000007923","protein_coding","DNAJC11","2","HGNC:25570","OTTHUMG00000001443.6"
"ENSG00000007933","HAVANA","gene",NA,NA,"ENSG00000007933","protein_coding","FMO3","2","HGNC:3771","OTTHUMG00000035505.5"
"ENSG00000007944","HAVANA","gene",NA,NA,"ENSG00000007944","protein_coding","MYLIP","2","HGNC:21155","OTTHUMG00000016405.3"
"ENSG00000007952","HAVANA","gene",NA,NA,"ENSG00000007952","protein_coding","NOX1","2","HGNC:7889","OTTHUMG00000022007.2"
"ENSG00000007968","HAVANA","gene",NA,NA,"ENSG00000007968","protein_coding","E2F2","2","HGNC:3114","OTTHUMG00000003223.2"
