"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000129596","HAVANA","gene",NA,NA,"ENSG00000129596","protein_coding","CDO1","2","HGNC:1795","OTTHUMG00000128891.4"
"ENSG00000129625","HAVANA","gene",NA,NA,"ENSG00000129625","protein_coding","REEP5","1","HGNC:30077","OTTHUMG00000128807.7"
"ENSG00000129636","HAVANA","gene",NA,NA,"ENSG00000129636","protein_coding","ITFG1","1","HGNC:30697","OTTHUMG00000133103.6"
"ENSG00000129646","HAVANA","gene",NA,NA,"ENSG00000129646","protein_coding","QRICH2","2","HGNC:25326","OTTHUMG00000167578.5"
"ENSG00000129654","HAVANA","gene",NA,NA,"ENSG00000129654","protein_coding","FOXJ1","2","HGNC:3816","OTTHUMG00000180120.2"
"ENSG00000129657","HAVANA","gene",NA,NA,"ENSG00000129657","protein_coding","SEC14L1","1","HGNC:10698","OTTHUMG00000177311.14"
"ENSG00000129667","HAVANA","gene",NA,NA,"ENSG00000129667","protein_coding","RHBDF2","1","HGNC:20788","OTTHUMG00000180180.3"
"ENSG00000129673","HAVANA","gene",NA,NA,"ENSG00000129673","protein_coding","AANAT","2","HGNC:19","OTTHUMG00000180179.2"
"ENSG00000129675","HAVANA","gene",NA,NA,"ENSG00000129675","protein_coding","ARHGEF6","2","HGNC:685","OTTHUMG00000022518.3"
"ENSG00000129680","HAVANA","gene",NA,NA,"ENSG00000129680","protein_coding","MAP7D3","1","HGNC:25742","OTTHUMG00000022507.5"
"ENSG00000129682","HAVANA","gene",NA,NA,"ENSG00000129682","protein_coding","FGF13","2","HGNC:3670","OTTHUMG00000022532.8"
"ENSG00000129691","HAVANA","gene",NA,NA,"ENSG00000129691","protein_coding","ASH2L","1","HGNC:744","OTTHUMG00000164016.8"
"ENSG00000129696","HAVANA","gene",NA,NA,"ENSG00000129696","protein_coding","TTI2","1","HGNC:26262","OTTHUMG00000163956.4"
"ENSG00000129749","HAVANA","gene",NA,NA,"ENSG00000129749","protein_coding","CHRNA10","1","HGNC:13800","OTTHUMG00000011844.2"
"ENSG00000129757","HAVANA","gene",NA,NA,"ENSG00000129757","protein_coding","CDKN1C","1","HGNC:1786","OTTHUMG00000010040.5"
"ENSG00000129810","HAVANA","gene",NA,NA,"ENSG00000129810","protein_coding","SGO1","2","HGNC:25088","OTTHUMG00000130479.7"
"ENSG00000129910","HAVANA","gene",NA,NA,"ENSG00000129910","protein_coding","CDH15","2","HGNC:1754","OTTHUMG00000138045.4"
"ENSG00000129911","HAVANA","gene",NA,NA,"ENSG00000129911","protein_coding","KLF16","2","HGNC:16857","OTTHUMG00000179994.3"
"ENSG00000129925","HAVANA","gene",NA,NA,"ENSG00000129925","protein_coding","PGAP6","1","HGNC:17205","OTTHUMG00000047996.9"
"ENSG00000129932","HAVANA","gene",NA,NA,"ENSG00000129932","protein_coding","DOHH","2","HGNC:28662","OTTHUMG00000192247.3"
"ENSG00000129933","HAVANA","gene",NA,NA,"ENSG00000129933","protein_coding","MAU2","2","HGNC:29140","OTTHUMG00000150188.14"
"ENSG00000129946","HAVANA","gene",NA,NA,"ENSG00000129946","protein_coding","SHC2","2","HGNC:29869","OTTHUMG00000180545.10"
"ENSG00000129951","HAVANA","gene",NA,NA,"ENSG00000129951","protein_coding","PLPPR3","2","HGNC:23497","OTTHUMG00000164523.7"
"ENSG00000129968","HAVANA","gene",NA,NA,"ENSG00000129968","protein_coding","ABHD17A","2","HGNC:28756","OTTHUMG00000171872.6"
"ENSG00000129988","HAVANA","gene",NA,NA,"ENSG00000129988","protein_coding","LBP","2","HGNC:6517","OTTHUMG00000032447.4"
"ENSG00000129990","HAVANA","gene",NA,NA,"ENSG00000129990","protein_coding","SYT5","2","HGNC:11513","OTTHUMG00000180669.4"
"ENSG00000129991","HAVANA","gene",NA,NA,"ENSG00000129991","protein_coding","TNNI3","2","HGNC:11947","OTTHUMG00000180589.7"
